Name,Type,Category,PIDs,Quantities
Chicken Rice Bowl,Lunch,Gluten-Free,"309; 81; 228; 152; 179","150 g; 200 g; 10 ml; 2 g; 5 g"
Gluten-Free Omelette,Breakfast,Gluten-Free,"310; 71; 207; 228; 152","150 g; 30 ml; 50 g; 5 ml; 2 g"
Tuna Salad Bowl,Lunch,Gluten-Free,"109; 259; 130; 228; 149","120 g; 80 g; 60 g; 10 ml; 10 ml"
Grilled Salmon Plate,Dinner,Gluten-Free,"318; 228; 152; 239; 149","150 g; 10 ml; 2 g; 1 g; 30 g"
Rice Porridge,Breakfast,Gluten-Free,"81; 17; 71; 321","100 g; 300 ml; 100 ml; 10 g"
Beef Stir Fry,Dinner,Gluten-Free,"118; 247; 323; 228","150 g; 80 g; 15 ml; 10 ml"
Banana Protein Smoothie,Breakfast,Gluten-Free,"186; 71; 268; 324","120 g; 250 ml; 20 g; 30 g"
Vegetable Soup,Dinner,Gluten-Free,"191; 249; 227; 17; 152","80 g; 100 g; 50 g; 400 ml; 2 g"
Egg Fried Rice (GF),Lunch,Gluten-Free,"81; 310; 228; 80","200 g; 100 g; 10 ml; 50 g"
Chicken Soup,Dinner,Gluten-Free,"309; 191; 17; 152","120 g; 60 g; 400 ml; 2 g"
322 Bowl,Breakfast,Gluten-Free,"322; 321; 264; 186","200 g; 10 g; 20 g; 100 g"
Shrimp Rice Bowl,Lunch,Gluten-Free,"319; 81; 228; 179","150 g; 180 g; 10 ml; 5 g"
Potato Omelette,Breakfast,Gluten-Free,"310; 249; 228; 152","150 g; 120 g; 10 ml; 2 g"
Chicken Wrap (GF),Lunch,Gluten-Free,"309; 107; 259;322","120 g; 60 g; 50 g; 30 g"
Beef Rice Bowl,Dinner,Gluten-Free,"118; 81; 228","150 g; 200 g; 10 ml"
Fruit Salad,Breakfast,Gluten-Free,"127; 186; 148; 321","100 g; 100 g; 120 g; 10 g"
Chicken Veg Stir Fry,Dinner,Gluten-Free,"309; 188; 191; 228","150 g; 80 g; 60 g; 10 ml"
Rice & Egg Bowl,Lunch,Gluten-Free,"81; 310; 152","180 g; 100 g; 2 g"
Protein Smooth Bowl,Breakfast,Gluten-Free,"322; 324; 186;325","200 g; 30 g; 100 g; 40 g"
Vegetable Rice Bowl,Dinner,Gluten-Free,"81; 191; 80; 228","200 g; 60 g; 50 g; 10 ml"
Turkey Egg Breakfast Bowl,Breakfast,High-Protein,"309; 313;207; 320;247","120 g; 100 g; 50 g; 10 ml; 2 g"
Chicken Hummus Plate,Lunch,High-Protein,"309; 84; 201; 320","150 g; 80 g; 80 g; 10 ml"
Cottage Cheese Berry Bowl,Breakfast,High-Protein,"70; 211; 211;283; 321","200 g; 60 g; 60 g; 10 g; 10 g"
Shrimp Avocado Salad,Lunch,High-Protein,"319; 185; 259; 320; 198","150 g; 80 g; 70 g; 10 ml; 10 ml"
Egg White Veggie Wrap,Breakfast,High-Protein,"313; 297; 248;207; 70","200 ml; 50 g; 80 g; 40 g; 20 g"
Beef Sweet Potato Skillet,Dinner,High-Protein,"310; 249; 227; 320","150 g; 200 g; 60 g; 10 ml"
Chicken Chickpea Bowl,Lunch,High-Protein,"309; 84; 262; 320; 179","150 g; 100 g; 80 g; 10 ml; 5 g"
Protein Yogurt Crunch,Breakfast,High-Protein,"322; 324; 264; 321;187","200 g; 50 g; 20 g; 10 g; 100 g"
Turkey Zucchini Stir Fry,Dinner,High-Protein,"309; 204; 323; 320; 179","150 g; 120 g; 10 ml; 10 ml; 5 g"
Beef Egg Scramble,Breakfast,High-Protein,"310; 313; 193; 320;247","120 g; 100 g; 80 g; 10 ml; 2 g"
Chicken Lentil Power Bowl,Lunch,High-Protein,"309; 86;207; 320","150 g; 120 g; 60 g; 10 ml"
Shrimp Brocculi Stir Fry,Dinner,High-Protein,"319;188; 323; 320; 179","150 g; 120 g; 10 ml; 10 ml; 5 g"
Egg Oat Protein Pancakes,Breakfast,High-Protein,"313; 325; 324; 75;326","100 g; 80 g; 30 g; 150 ml; 2 g"
Chicken Cauliflower Rice Bowl,Lunch,High-Protein,"309; 81; 320; 84; 323","150 g; 150 g; 10 ml; 60 g; 10 ml"
Beef Mushroom Pasta,Dinner,High-Protein,"310; 1; 193; 135; 320","150 g; 120 g; 80 g; 100 g; 10 ml"
Protein peanaut butter Smoothie,Breakfast,High-Protein,"324; 268;187; 75; 325","30 g; 20 g; 120 g; 250 ml; 40 g"
Chicken Black Bean Bowl,Lunch,High-Protein,"309; 79; 81; 320; 199","150 g; 100 g; 180 g; 10 ml; 10 ml"
