Name,Type,Category,PIDs,Quantities
Tuna Pasta,Dinner,High-Protein,"1;110;108;162","200 g;120 g;100 g;10 ml"
Breakfast Omelette,Breakfast,Low-carb,"313;191;204;162","150 g;80 g;80 g;10 ml"
Chicken Broccoli Skillet,Dinner,Low-Carb,"309;188;320;179","150 g;120 g;10 ml;3 g"
Garlic Shrimp Bowl,Lunch,Low-Carb,"319;179;320;259","150 g;3 g;10 ml;80 g"
Spinach Chicken Plate,Dinner,Low-Carb,"309;207;320;179","150 g;100 g;10 ml;3 g"
Beef Lettuce Bowl,Lunch,Low-Carb,"310;259;320;247","140 g;90 g;10 ml;40 g"
Egg Spinach Scramble,Breakfast,Low-Carb,"313;207;320;179","120 g;80 g;5 ml;2 g"
Shrimp Broccoli Plate,Dinner,Low-Carb,"319;188;320;323","150 g;120 g;10 ml;5 ml"
Chicken Olive Salad,Lunch,Low-Carb,"309;228;259;320","140 g;40 g;80 g;10 ml"
Beef Pepper Stir Fry,Dinner,Low-Carb,"310;247;320;323","150 g;80 g;10 ml;10 ml"
Zucchini Chicken Pan,Lunch,Low-Carb,"309;204;320;179","150 g;120 g;10 ml;3 g"
Shrimp Spinach Bowl,Dinner,Low-Carb,"319;207;320;179","150 g;90 g;10 ml;3 g"
Egg Olive Breakfast Plate,Breakfast,Low-Carb,"313;228;259;320","120 g;40 g;60 g;5 ml"
Chicken Pepper Skillet,Dinner,Low-Carb,"309;247;320;179","150 g;70 g;10 ml;3 g"
Beef Spinach Bowl,Lunch,Low-Carb,"310;207;320;323","140 g;100 g;10 ml;5 ml"
Shrimp Zucchini Stir Fry,Dinner,Low-Carb,"319;204;320;323","150 g;120 g;10 ml;10 ml"
Chicken Tomato Salad,Lunch,Low-Carb,"309;262;259;320","140 g;60 g;80 g;10 ml"
Egg Broccoli Scramble,Breakfast,Low-Carb,"313;188;320;179","120 g;90 g;5 ml;2 g"
Beef Olive Lettuce Bowl,Lunch,Low-Carb,"310;228;259;320","140 g;40 g;90 g;10 ml"
Garlic Chicken Spinach,Dinner,Low-Carb,"309;207;179;320","150 g;100 g;3 g;10 ml"
Shrimp Pepper Plate,Dinner,Low-Carb,"319;247;320;179","150 g;80 g;10 ml;3 g"
Zucchini Egg Breakfast,Breakfast,Low-Carb,"313;204;320;179","120 g;100 g;5 ml;2 g"
Couscous with Vegetables,Lunch,Vegetarian,"9;191;204;84;162","250 g;150 g;120 g;80 g;15 ml"
