Name,Type,Category,PIDs,Quantities
Chicken Rice Bowl,Lunch,Gluten-Free,"309; 81; 228; 152; 179","150 g; 200 g; 10 ml; 2 g; 5 g"
Gluten-Free Omelette,Breakfast,Gluten-Free,"310; 71; 207; 228; 152","150 g; 30 ml; 50 g; 5 ml; 2 g"
Tuna Salad Bowl,Lunch,Gluten-Free,"109; 259; 130; 228; 149","120 g; 80 g; 60 g; 10 ml; 10 ml"
Grilled Salmon Plate,Dinner,Gluten-Free,"318; 228; 152; 239; 149","150 g; 10 ml; 2 g; 1 g; 30 g"
Rice Porridge,Breakfast,Gluten-Free,"81; 17; 71; 321","100 g; 300 ml; 100 ml; 10 g"
Beef Stir Fry,Dinner,Gluten-Free,"118; 247; 323; 228","150 g; 80 g; 15 ml; 10 ml"
Banana Protein Smoothie,Breakfast,Gluten-Free,"186; 71; 268; 324","120 g; 250 ml; 20 g; 30 g"
Vegetable Soup,Dinner,Gluten-Free,"191; 249; 227; 17; 152","80 g; 100 g; 50 g; 400 ml; 2 g"
Egg Fried Rice (GF),Lunch,Gluten-Free,"81; 310; 228; 80","200 g; 100 g; 10 ml; 50 g"
Chicken Soup,Dinner,Gluten-Free,"309; 191; 17; 152","120 g; 60 g; 400 ml; 2 g"
Shrimp Rice Bowl,Lunch,Gluten-Free,"319; 81; 228; 179","150 g; 180 g; 10 ml; 5 g"
Potato Omelette,Breakfast,Gluten-Free,"310; 249; 228; 152","150 g; 120 g; 10 ml; 2 g"
Chicken Wrap (GF),Lunch,Gluten-Free,"309; 107; 259;322","120 g; 60 g; 50 g; 30 g"
Beef Rice Bowl,Dinner,Gluten-Free,"118; 81; 228","150 g; 200 g; 10 ml"
Fruit Salad,Breakfast,Gluten-Free,"127; 186; 148; 321","100 g; 100 g; 120 g; 10 g"
Chicken Veg Stir Fry,Dinner,Gluten-Free,"309; 188; 191; 228","150 g; 80 g; 60 g; 10 ml"
Protein Smooth Bowl,Breakfast,Gluten-Free,"322; 324; 186;325","200 g; 30 g; 100 g; 40 g"
Vegetable Rice Bowl,Dinner,Gluten-Free,"81; 191; 80; 228","200 g; 60 g; 50 g; 10 ml"
Yogurt with Honey,Breakfast,Gluten-Free,"322;223;321;264","220 g;6 g;12 g;18 g"
Yogurt with Fig and Honey Bowl,Breakfast,Gluten-Free,"322;273;321;264","220 g;35 g;10 g;15 g"
Strawberry with Yogurt and Almond Cup,Breakfast,Gluten-Free,"322;211;264;321","220 g;90 g;18 g;8 g"
Orange and Date with Yogurt Bowl,Breakfast,Gluten-Free,"322;235;205;321","220 g;90 g;35 g;8 g"
Beet Yogurt Breakfast Plate,Breakfast,Gluten-Free,"187;322;223;321","100 g;200 g;5 g;8 g"
Raisin Yogurt Bowl,Breakfast,Gluten-Free,"191;287;322;321","80 g;20 g;200 g;8 g"
Pomegranate Yogurt Crunch,Breakfast,Gluten-Free,"322;213;264;321","220 g;90 g;16 g;8 g"
Chickpea Tomato Breakfast Stew,Breakfast,Gluten-Free,"84;262;227;320","90 g;120 g;60 g;7 ml"
Semolina Milk Honey Bowl,Breakfast,Gluten-Free,"302;75;321;326","80 g;250 ml;10 g;2 g"
Sardine Rice Tomato Bowl,Lunch,Gluten-Free,"314;81;262;320","130 g;180 g;90 g;10 ml"
Tuna Rice Olive Bowl,Lunch,Gluten-Free,"112;81;228;320","120 g;180 g;35 g;10 ml"
Daurade Tomato Olive Plate,Lunch,Gluten-Free,"316;262;228;320","150 g;90 g;35 g;8 ml"
Merlan with Green Bean Plate,Lunch,Gluten-Free,"317;214;262;320","150 g;110 g;80 g;8 ml"
Lentil Soup,Lunch,Gluten-Free,"86;207;227;320","110 g;100 g;60 g;8 ml"
Mutton Potato Onion Plate,Lunch,Gluten-Free,"311;249;227;320","140 g;150 g;70 g;10 ml"
Mutton Carrot Pea,Dinner,Gluten-Free,"311;191;240;320","140 g;90 g;90 g;10 ml"
Rice with Sardine and Coriander,Dinner,Gluten-Free,"314;81;202;320","140 g;170 g;8 g;10 ml"
Mashed Potatoes,Lunch,Gluten-Free,"249;78;73","800 g;120 ml;57 g"
Lamb pilau,Lunch,Gluten-Free,"284;320;238;311;81","30 g;15 ml;300 g;500 g;250 g"
Whipped Coffee,Breakfast,Gluten-Free,"101;102;75","24 g;12 g;30 ml"
Strawberry Banana Smoothie,Breakfast,Gluten-Free,"211;186;75;322","300 g;120 g;360 ml;285 g"
