Name,Type,Category,Ingredients,Quantities
Chicken Rice Bowl,Lunch,Gluten-Free,"309; 81; 228; 152; 179","150g; 200g; 10ml; 2g; 5g"
Gluten-Free Omelette,Breakfast,Gluten-Free,"310; 71; 207; 228; 152","150g; 30ml; 50g; 5ml; 2g"
Tuna Salad Bowl,Lunch,Gluten-Free,"109; 259; 130; 228; 149","120g; 80g; 60g; 10ml; 10ml"
Grilled Salmon Plate,Dinner,Gluten-Free,"Salmon; 228; 152; 239; 149","150g; 10ml; 2g; 1g; 30g"
Rice Porridge,Breakfast,Gluten-Free,"81; 17; 71; Honey","100g; 300ml; 100ml; 10g"
Beef Stir Fry,Dinner,Gluten-Free,"118; 247; Soy sauce (GF); 228","150g; 80g; 15ml; 10ml"
Banana Protein Smoothie,Breakfast,Gluten-Free,"186; 71; 268; Protein powder","120g; 250ml; 20g; 30g"
Vegetable Soup,Dinner,Gluten-Free,"191; 249; 227; 17; 152","80g; 100g; 50g; 400ml; 2g"
Egg Fried Rice (GF),Lunch,Gluten-Free,"81; 310; 228; 80","200g; 100g; 10ml; 50g"
Chicken Soup,Dinner,Gluten-Free,"309; 191; 17; 152","120g; 60g; 400ml; 2g"
Greek Yogurt Bowl,Breakfast,Gluten-Free,"Yogurt; Honey; 264; 186","200g; 10g; 20g; 100g"
Shrimp Rice Bowl,Lunch,Gluten-Free,"Shrimp; 81; 228; 179","150g; 180g; 10ml; 5g"
Potato Omelette,Breakfast,Gluten-Free,"310; 249; 228; 152","150g; 120g; 10ml; 2g"
Chicken Wrap (GF),Lunch,Gluten-Free,"309; 107; 259; Yogurt sauce","120g; 60g; 50g; 30g"
Beef Rice Bowl,Dinner,Gluten-Free,"118; 81; 228","150g; 200g; 10ml"
Fruit Salad,Breakfast,Gluten-Free,"127; 186; 148; Honey","100g; 100g; 120g; 10g"
Chicken Veg Stir Fry,Dinner,Gluten-Free,"309; 188; 191; 228","150g; 80g; 60g; 10ml"
Rice & Egg Bowl,Lunch,Gluten-Free,"81; 310; 152","180g; 100g; 2g"
Protein Smooth Bowl,Breakfast,Gluten-Free,"Yogurt; Protein powder; 186; GF oats","200g; 30g; 100g; 40g"
Vegetable Rice Bowl,Dinner,Gluten-Free,"81; 191; 80; 228","200g; 60g; 50g; 10ml"
Turkey Egg Breakfast Bowl,Breakfast,High-Protein,"309; 313;207; Olive oil;247","120g; 2pcs; 50g; 10ml; 2g"
Beef Quinoa Power Bowl,Lunch,High-Protein,"310; Quinoa; Kale; Olive oil; Garlic","150g; 120g; 60g; 10ml; 5g"
Chicken Hummus Plate,Lunch,High-Protein,"309; Hummus; Cucumber; Olive oil; Paprika","150g; 80g; 80g; 10ml; 2g"
Cottage Cheese Berry Bowl,Breakfast,High-Protein,"Cottage cheese; Blueberries; Strawberries; Chia seeds; Honey","200g; 60g; 60g; 10g; 10g"
Pork Tenderloin Rice Bowl,Dinner,High-Protein,"Pork tenderloin; 81; Broccoli; Soy sauce; Sesame oil","150g; 180g; 100g; 10ml; 5ml"
Shrimp Avocado Salad,Lunch,High-Protein,"Shrimp; Avocado; Lettuce; Olive oil; Lemon juice","150g; 80g; 70g; 10ml; 10ml"
Egg White Veggie Wrap,Breakfast,High-Protein,"Egg whites; Gluten-free wrap; Bell peppers;207; Cheese","200ml; 1pc; 80g; 40g; 20g"
Beef Sweet Potato Skillet,Dinner,High-Protein,"310; 249; 227; Olive oil","150g; 200g; 60g; 10ml"
Chicken Chickpea Bowl,Lunch,High-Protein,"309; Chickpeas; Tomato; Olive oil; Garlic","150g; 100g; 80g; 10ml; 5g"
Protein Yogurt Crunch,Breakfast,High-Protein,"Greek yogurt; Protein granola; Almonds; Honey;187","200g; 50g; 20g; 10g; 100g"
Turkey Zucchini Stir Fry,Dinner,High-Protein,"Turkey breast; Zucchini; Soy sauce; Olive oil; Garlic","150g; 120g; 10ml; 10ml; 5g"
Beef Egg Scramble,Breakfast,High-Protein,"310; 313; 193; Olive oil;247","120g; 2pcs; 80g; 10ml; 2g"
Chicken Lentil Power Bowl,Lunch,High-Protein,"309; Lentils;207; Olive oil; Cumin","150g; 120g; 60g; 10ml; 2g"
Shrimp Broccoli Stir Fry,Dinner,High-Protein,"Shrimp; Broccoli; Soy sauce; Olive oil; Garlic","150g; 120g; 10ml; 10ml; 5g"
Egg Oat Protein Pancakes,Breakfast,High-Protein,"313; Oats; Protein powder; Milk; Cinnamon","2pcs; 80g; 30g; 150ml; 2g"
Chicken Cauliflower Rice Bowl,Lunch,High-Protein,"309; 81; Olive oil; 84; Soy sauce","150g; 150g; 10ml; 60g; 10ml"
Beef Mushroom Pasta,Dinner,High-Protein,"310; 1; 193; 135; Olive oil","150g; 120g; 80g; 100g; 10ml"
Protein peanaut butter Smoothie,Breakfast,High-Protein,"Protein powder; 268;187; 75; Oats","30g; 20g; 120g; 250ml; 40g"
Chicken Black Bean Bowl,Lunch,High-Protein,"309; 79; 81; Olive oil; 199","150g; 100g; 180g; 10ml; 10ml"
