Name,Type,Category,PIDs,Quantities
Yogurt with Honey,Breakfast,Gluten-Free,"322;223;321;264","220 g;6 g;12 g;18 g"
Date with Honey and Oat ,Breakfast,High-Protein,"325;205;321;75","70 g;40 g;10 g;220 ml"
Bananas and Almond Bowl,Breakfast,High-Protein,"322;186;264;321","220 g;100 g;20 g;8 g"
Spinach Olive Omelette,Breakfast,Low-Carb,"313;207;228;320","130 g;90 g;35 g;6 ml"
Egg Scramble,Breakfast,Low-Carb,"313;129;227;320","130 g;5 g;50 g;6 ml"
Zucchini Herb Omelette,Breakfast,Low-Carb,"313;204;202;320","130 g;100 g;6 g;6 ml"
Potato Onion Omelette,Breakfast,Gluten-Free,"313;249;227;320","140 g;120 g;60 g;7 ml"
Tomatoand Pepper Omelette,Breakfast,Low-Carb,"313;262;247;320","130 g;90 g;70 g;6 ml"
Sardine Breakfast Plate,Breakfast,High-Protein,"314;262;228;320","120 g;80 g;35 g;7 ml"
Tuna Olive Breakfast Salad,Breakfast,High-Protein,"112;259;228;198","110 g;80 g;35 g;20 g"
Lentil and Egg,Breakfast,High-Protein,"86;313;262;320","90 g;120 g;80 g;6 ml"
Chickpea Egg Garlic Bowl,Breakfast,High-Protein,"84;313;179;320","90 g;120 g;3 g;6 ml"
Yogurt with Fig and Honey Bowl,Breakfast,Gluten-Free,"322;273;321;264","220 g;35 g;10 g;15 g"
Strawberry with Yogurt and Almond Cup,Breakfast,Gluten-Free,"322;211;264;321","220 g;90 g;18 g;8 g"
Banana Peanut Protein Smoothie,Breakfast,High-Protein,"186;268;324;75","120 g;20 g;30 g;250 ml"
Orange and Date with Yogurt Bowl,Breakfast,Gluten-Free,"322;235;205;321","220 g;90 g;35 g;8 g"
Oat and Honey Cinnamon Porridge,Breakfast,High-Protein,"325;75;321;326","80 g;250 ml;12 g;2 g"
Oat Banana Pancake Bowl,Breakfast,High-Protein,"325;313;186;75","70 g;110 g;100 g;180 ml"
Spinach Cheese Egg Scramble,Breakfast,High-Protein,"313;207;70;320","130 g;90 g;40 g;6 ml"
Beet Yogurt Breakfast Plate,Breakfast,Gluten-Free,"187;322;223;321","100 g;200 g;5 g;8 g"
Cucumber Olive Egg Salad,Breakfast,Low-Carb,"313;201;228;320","120 g;100 g;35 g;6 ml"
Raisin Yogurt Bowl,Breakfast,Gluten-Free,"191;287;322;321","80 g;20 g;200 g;8 g"
Pomegranate Yogurt Crunch,Breakfast,Gluten-Free,"322;213;264;321","220 g;90 g;16 g;8 g"
Coffee and Date Almond Snack Bowl,Breakfast,Low-Carb,"94;205;264","8 g;35 g;20 g"
Chickpea Tomato Breakfast Stew,Breakfast,Gluten-Free,"84;262;227;320","90 g;120 g;60 g;7 ml"
Merlan Egg,Lunch,High-Protein,"317;313;262;320","130 g;100 g;80 g;6 ml"
Daurade Olive Bowl,Breakfast,High-Protein,"316;228;259;198","130 g;35 g;80 g;20 g"
Shrimp Egg Herb Scramble,Breakfast,High-Protein,"319;313;202;320","120 g;100 g;6 g;6 ml"
Chicken Egg Breakfast Bowl,Breakfast,High-Protein,"309;313;207;320","120 g;100 g;80 g;7 ml"
Beef and Eggs,Breakfast,High-Protein,"310;313;247;320","110 g;100 g;70 g;7 ml"
Semolina Milk Honey Bowl,Breakfast,Gluten-Free,"302;75;321;326","80 g;250 ml;10 g;2 g"
Algerian Chakchouka,Lunch,High-Protein,"313;262;227;320;129","140 g;120 g;60 g;8 ml;4 g"
Couscous with Beef and Harissa,Lunch,Traditional,"9;310;129;262;320","220 g;140 g;5 g;80 g;10 ml"
Couscous with Merlan,Lunch,Traditional,"9;317;223;262;320","220 g;150 g;6 g;90 g;10 ml"
Chickpea Chicken Bowl,Lunch,High-Protein,"84;309;262;320","110 g;150 g;90 g;10 ml"
Lentil Beef Bowl,Lunch,High-Protein,"86;310;227;320","110 g;140 g;60 g;10 ml"
Loubia Chicken Plate,Lunch,Traditional,"79;309;262;320","110 g;150 g;90 g;10 ml"
Sardine Rice Tomato Bowl,Lunch,Gluten-Free,"314;81;262;320","130 g;180 g;90 g;10 ml"
Tuna Rice Olive Bowl,Lunch,Gluten-Free,"112;81;228;320","120 g;180 g;35 g;10 ml"
Shrimp Rice Coriander Bowl,Lunch,High-Protein,"319;81;202;320","140 g;180 g;8 g;10 ml"
Chicken Zucchini Couscous,Lunch,High-Protein,"9;309;204;320","220 g;150 g;120 g;10 ml"
Rice with Beef and Pepper Plate,Lunch,High-Protein,"310;81;247;320","140 g;180 g;80 g;10 ml"
Mutton Chickpea Stew Bowl,Lunch,High-Protein,"311;84;262;320","140 g;110 g;80 g;10 ml"
Lamb Vegetable Couscous,Lunch,High-Protein,"312;9;191;204;320","140 g;220 g;80 g;100 g;10 ml"
Daurade Tomato Olive Plate,Lunch,Gluten-Free,"316;262;228;320","150 g;90 g;35 g;8 ml"
Merlan with Green Bean Plate,Lunch,Gluten-Free,"317;214;262;320","150 g;110 g;80 g;8 ml"
Chicken Spinach Rice,Lunch,High-Protein,"309;81;207;320","150 g;180 g;100 g;10 ml"
Beef Cauliflower Skillet,Lunch,Low-Carb,"310;195;227;320","140 g;120 g;60 g;10 ml"
Chicken Broccoli Skillet DZ,Lunch,Low-Carb,"309;188;179;320","150 g;120 g;3 g;10 ml"
Shrimp and Hmiss,Lunch,Low-Carb,"319;247;262;320;129","140 g;90 g;90 g;10 ml;4 g"
Tuna and Lettuce salade,Lunch,Low-Carb,"112;259;223;320","120 g;100 g;6 g;10 ml"
Chicken with Carrot and Pea Bowl,Lunch,High-Protein,"309;191;240;320","150 g;90 g;90 g;10 ml"
Couscous wirh Beef and Mushroom,Lunch,High-Protein,"310;9;193;320","140 g;220 g;90 g;10 ml"
Lentil Soup,Lunch,Gluten-Free,"86;207;227;320","110 g;100 g;60 g;8 ml"
Chickpea with Tomato and Coriander Bowl,Lunch,Vegetarian,"84;262;202;320","120 g;100 g;8 g;10 ml"
Chicken Olive Lemon Salad,Lunch,Low-Carb,"309;228;259;198;320","150 g;35 g;100 g;20 g;10 ml"
Beef Cucumber Olive Bowl,Lunch,Low-Carb,"310;201;228;320","140 g;110 g;35 g;10 ml"
Mutton Potato Onion Plate,Lunch,Gluten-Free,"311;249;227;320","140 g;150 g;70 g;10 ml"
Lamb Zucchini Pepper Bowl,Lunch,Low-Carb,"312;204;247;320","140 g;120 g;80 g;10 ml"
Sardine Chickpea Tomato Bowl,Lunch,High-Protein,"314;84;262;320","130 g;110 g;90 g;10 ml"
Tuna Chickpea Mint Salad,Lunch,High-Protein,"112;84;223;320","120 g;110 g;6 g;10 ml"
Shrimp Green Bean Rice,Lunch,High-Protein,"319;214;81;320","140 g;100 g;170 g;10 ml"
Chicken Harissa Rice Bowl,Lunch,High-Protein,"309;81;129;320","150 g;180 g;5 g;10 ml"
Chorba Frik wiht Chicken,Dinner,Traditional,"307;309;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Chorba Vermicelle Beef,Dinner,High-Protein,"17;310;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Chorba Lentil Lamb,Dinner,High-Protein,"86;312;227;191;320","110 g;140 g;60 g;90 g;10 ml"
Rechta-Style Chicken Bowl,Dinner,High-Protein,"62;309;227;262;320","120 g;150 g;60 g;90 g;10 ml"
Tlitli Chicken,Dinner,High-Protein,"51;309;191;320","120 g;150 g;90 g;10 ml"
Tlitli Beef,Dinner,High-Protein,"51;310;227;320","120 g;140 g;60 g;10 ml"
Couscous with Sardine,Dinner,Gluten-Free,"9;314;262;320","220 g;140 g;90 g;10 ml"
Couscous with Shrimp,Dinner,High-Protein,"9;319;262;320","220 g;140 g;90 g;10 ml"
Couscous with Daurade,Dinner,High-Protein,"9;316;262;320","220 g;150 g;90 g;10 ml"
Chicken Harira Style Bowl,Dinner,High-Protein,"309;84;86;262;320","140 g;90 g;80 g;80 g;10 ml"
Beef Loubia Stew,Dinner,High-Protein,"310;79;227;262;320","140 g;110 g;60 g;80 g;10 ml"
Lamb Chickpea Stew,Dinner,High-Protein,"312;84;227;262;320","140 g;110 g;60 g;80 g;10 ml"
