Name,Type,Category,PIDs,Quantities
Turkey Egg Breakfast Bowl,Breakfast,High-Protein,"309; 313;207; 320;247","120 g; 100 g; 50 g; 10 ml; 2 g"
Chicken Hummus Plate,Lunch,High-Protein,"309; 84; 201; 320","150 g; 80 g; 80 g; 10 ml"
Cottage Cheese Berry Bowl,Breakfast,High-Protein,"70; 211; 211;283; 321","200 g; 60 g; 60 g; 10 g; 10 g"
Shrimp Avocado Salad,Lunch,High-Protein,"319; 185; 259; 320; 198","150 g; 80 g; 70 g; 10 ml; 10 ml"
Egg White Veggie Wrap,Breakfast,High-Protein,"313; 297; 248;207; 70","200 ml; 50 g; 80 g; 40 g; 20 g"
Beef Sweet Potato Skillet,Dinner,High-Protein,"310; 249; 227; 320","150 g; 200 g; 60 g; 10 ml"
Chicken Chickpea Bowl,Lunch,High-Protein,"309; 84; 262; 320; 179","150 g; 100 g; 80 g; 10 ml; 5 g"
Protein Yogurt Crunch,Breakfast,High-Protein,"322; 324; 264; 321;187","200 g; 50 g; 20 g; 10 g; 100 g"
Turkey Zucchini Stir Fry,Dinner,High-Protein,"309; 204; 323; 320; 179","150 g; 120 g; 10 ml; 10 ml; 5 g"
Beef Egg Scramble,Breakfast,High-Protein,"310; 313; 193; 320;247","120 g; 100 g; 80 g; 10 ml; 2 g"
Chicken Lentil Power Bowl,Lunch,High-Protein,"309; 86;207; 320","150 g; 120 g; 60 g; 10 ml"
Shrimp Brocculi Stir Fry,Dinner,High-Protein,"319;188; 323; 320; 179","150 g; 120 g; 10 ml; 10 ml; 5 g"
Egg Oat Protein Pancakes,Breakfast,High-Protein,"313; 325; 324; 75;326","100 g; 80 g; 30 g; 150 ml; 2 g"
Chicken Cauliflower Rice Bowl,Lunch,High-Protein,"309; 81; 320; 84; 323","150 g; 150 g; 10 ml; 60 g; 10 ml"
Beef Mushroom Pasta,Dinner,High-Protein,"310; 1; 193; 135; 320","150 g; 120 g; 80 g; 100 g; 10 ml"
Protein peanaut butter Smoothie,Breakfast,High-Protein,"324; 268;187; 75; 325","30 g; 20 g; 120 g; 250 ml; 40 g"
Chicken Black Bean Bowl,Lunch,High-Protein,"309; 79; 81; 320; 199","150 g; 100 g; 180 g; 10 ml; 10 ml"
Date with Honey and Oat ,Breakfast,High-Protein,"325;205;321;75","70 g;40 g;10 g;220 ml"
Bananas and Almond Bowl,Breakfast,High-Protein,"322;186;264;321","220 g;100 g;20 g;8 g"
Sardine Breakfast Plate,Breakfast,High-Protein,"314;262;228;320","120 g;80 g;35 g;7 ml"
Tuna Olive Breakfast Salad,Breakfast,High-Protein,"112;259;228;198","110 g;80 g;35 g;20 g"
Lentil and Egg,Breakfast,High-Protein,"86;313;262;320","90 g;120 g;80 g;6 ml"
Chickpea Egg Garlic Bowl,Breakfast,High-Protein,"84;313;179;320","90 g;120 g;3 g;6 ml"
Banana Peanut Protein Smoothie,Breakfast,High-Protein,"186;268;324;75","120 g;20 g;30 g;250 ml"
Oat and Honey Cinnamon Porridge,Breakfast,High-Protein,"325;75;321;326","80 g;250 ml;12 g;2 g"
Oat Banana Pancake Bowl,Breakfast,High-Protein,"325;313;186;75","70 g;110 g;100 g;180 ml"
Spinach Cheese Egg Scramble,Breakfast,High-Protein,"313;207;70;320","130 g;90 g;40 g;6 ml"
